0.684643 0.044477 -0.605806 0.297486
0.741038 0.176397 2.897388 0.997625
0.608392 0.078978 0.592575 0.698184
0.299815 0.196038 2.036453 0.974446
0.588459 0.019239 -1.514513 0.077223
0.705097 0.021951 -1.861382 0.038071
0.608030 0.053620 -0.152901 0.450487
0.513195 0.160103 1.694906 0.945809
0.616431 0.096392 1.020185 0.824303
0.801936 0.076139 0.564822 0.689039
0.439012 0.179612 2.137564 0.979961
0.723239 0.085513 0.818165 0.768734
0.675118 0.125756 1.702426 0.946638
0.531283 0.031976 -0.826433 0.228836
0.842832 0.068030 0.352735 0.617310
0.500000 -0.016138 -3.036511 0.001515
0.523793 0.016368 -1.442328 0.088254
0.570004 0.096903 0.947258 0.805198
0.564498 0.008138 -2.071071 0.023538
